,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro
0,"Kimball Electronics, Inc.",4.5,Negligible ESG Risk,Technology Hardware,NAS,KE,595865984.0,548196705.28
1,"Steelcase, Inc.",5.3,Negligible ESG Risk,Commercial Services,NYS,SCS,1588731392.0,1461632880.64
2,HNI Corp.,5.4,Negligible ESG Risk,Commercial Services,NYS,HNI,2324179456.0,2138245099.52
3,"Avnet, Inc.",5.6,Negligible ESG Risk,Technology Hardware,NAS,AVT,4910356480.0,4517527961.6
4,ACCO Brands Corp.,5.7,Negligible ESG Risk,Commercial Services,NYS,ACCO,478198464.0,439942586.88
5,"Keysight Technologies, Inc.",6.2,Negligible ESG Risk,Technology Hardware,NYS,KEYS,25412880384.0,23379849953.280003
6,"CBRE Group, Inc.",6.3,Negligible ESG Risk,Real Estate,NYS,CBRE,30044205056.0,27640668651.52
7,Brady Corp.,6.4,Negligible ESG Risk,Commercial Services,NYS,BRC,3316973824.0,3051615918.08
8,"Paramount Group, Inc.",6.4,Negligible ESG Risk,Real Estate,NYS,PGRE,1260408064.0,1159575418.88
9,"Benchmark Electronics, Inc.",7.1,Negligible ESG Risk,Technology Hardware,NYS,BHE,1508877184.0,1388167009.28
10,Plexus Corp.,7.2,Negligible ESG Risk,Technology Hardware,NAS,PLXS,3269281792.0,3007739248.6400003
11,"Hasbro, Inc.",7.3,Negligible ESG Risk,Consumer Durables,NAS,HAS,8446234624.0,7770535854.08
12,"Chegg, Inc.",7.4,Negligible ESG Risk,Consumer Services,NYS,CHGG,361848192.0,332900336.64
13,"Jones Lang LaSalle, Inc.",7.4,Negligible ESG Risk,Real Estate,NYS,JLL,10937013248.0,10062052188.16
14,Universal Display Corp.,7.4,Negligible ESG Risk,Technology Hardware,NAS,OLED,10669143040.0,9815611596.800001
15,CDW Corp.,7.5,Negligible ESG Risk,Technology Hardware,NAS,CDW,31849637888.0,29301666856.960003
16,Flex Ltd.,7.5,Negligible ESG Risk,Technology Hardware,NAS,FLEX,12374888448.0,11384897372.16
17,"Resideo Technologies, Inc.",7.5,Negligible ESG Risk,Retailing,NYS,REZI,3218721792.0,2961224048.6400003
18,Texas Pacific Land Corp.,7.6,Negligible ESG Risk,Oil & Gas Producers,NYS,TPL,18817611776.0,17312202833.920002
19,"Arrow Electronics, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NYS,ARW,6705903104.0,6169430855.68
20,Fabrinet,7.7,Negligible ESG Risk,Technology Hardware,NYS,FN,9135338496.0,8404511416.320001
21,"Novanta, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NAS,NOVT,6537356288.0,6014367784.96
22,"Rayonier, Inc.",7.7,Negligible ESG Risk,Real Estate,NYS,RYN,4468653056.0,4111160811.52
23,TD SYNNEX Corp.,7.8,Negligible ESG Risk,Technology Hardware,NYS,SNX,10059460608.0,9254703759.36
24,Cimpress Plc,7.8,Negligible ESG Risk,Commercial Services,NAS,CMPR,2445576960.0,2249930803.2000003
